"","speciesName","hadsstwannp50","en4sstwannp50","en4sbtwannp50","maxent_wtd.quantile50.","wtd.quantile50.","hadsstwannp90","en4sstwannp90","en4sbtwannp90","maxent_wtd.quantile90.","wtd.quantile90.","hadsstwannp10","en4sstwannp10","en4sbtwannp10","maxent_wtd.quantile10.","wtd.quantile10."
"1","Abalistes stellatus",27.96,28.3560820683494,1.4678586453869,28.066815597657,27.7924232966643,28.73,29.1770063693819,16.7182598054578,28.7366462788906,28.6242436356856,24.85,25.2453628891748,0.979461934126568,26.5105365428013,25.1509702552976
"2","Ablennes hians",26.9,27.207696619854,1.38373842694369,27.3497206897441,26.369119928593,27.94,28.3298841147524,4.11846755524878,27.9933824462205,27.8704690863933,24.29,24.588278113,0.991292433818916,25.1479274137352,21.2923221456965
"3","Abralia veranyi",21.9878056826156,22.2135756324874,4.00445157427585,19.4751751188191,18.6483492983135,27.9,28.0815845658295,13.6681856128966,27.0896515967025,27.1655747952549,16.3111222730462,16.0590939876327,2.1039943704625,14.937593829777,14.9905369742578
"4","Abraliopsis gilchristi",18.57,19.0330070560496,0.990279244815065,18.8653977277519,18.6189309780397,22.6907056439438,23.3038156383638,2.82769720023957,21.0819560482803,20.9537226929446,14.4823006271049,15.0618413425352,0.455453683341959,15.8320290232285,15.8816561407576
"5","Abramis brama",9.56044065355055,9.19546753745815,7.09730677891299,9.59016895315856,10.9905646937356,12.7921035629001,12.2513255541449,10.9360226225594,12.966102430302,12.6821666145778,1.44661305692327,1.59194612751479,1.16428869661638,4.5041048313192,7.62427594094916
"6","Abudefduf abdominalis",23.46,23.688602747955,1.16557762825405,25.1197741999555,25.3120698084996,27.98,28.2695268179732,1.66293351907037,28.5467146490006,25.6725361060755,10.27,10.6981796656383,0.804930795691564,22.1845233675612,24.3928313133219
"7","Abudefduf bengalensis",27.1708599721749,27.5070942457839,3.76011683223884,27.3586980252961,26.2305167812061,28.71,29.0085550066032,27.1882996511244,28.7236924119833,28.0315971906016,23.782171994435,24.0343637852199,1.35481874036743,20.5291109158572,23.9815347512772
"8","Abudefduf saxatilis",27,27.1741479811706,2.19530886313804,27.3867073530769,27.2176658585256,27.98,28.2096363313759,10.7649832944209,28.4740691342916,28.0839344116266,23.14,23.4470640536299,1.21843955847124,23.8380372285368,23.997714568052
"9","Abudefduf septemfasciatus",28.44,28.7664884874179,1.41501054713842,27.9289930452002,27.9414784147901,29.25,29.44964098664,13.352098893306,28.931638621851,29.022086808351,26.58,26.7607598563431,1.0368252611378,26.8770266532417,25.4930477769529
"10","Abudefduf sexfasciatus",27.3746073860317,27.7673200051255,1.72891031718119,26.8463251566774,26.6968031666847,28.89,29.2224238973182,21.5749214604666,28.7670026045153,28.5319577037185,24.35,24.7292497507778,1.18885005804571,23.0068582043077,23.5490880848312
"11","Abudefduf sordidus",26.64,26.9624707557092,1.33589850431482,26.8662594010469,25.5353884601258,28.72,29.033741719175,3.05053402930552,28.7318481557063,28.5216403218471,20.6,20.9703356010709,0.974962116943027,22.2101147749467,23.1074126257141
"12","Abudefduf troschelii",27.4161980780414,27.8018323668651,2.32434350387689,27.1978124521435,27.40448987584,28.07,28.4452070274869,17.6000474587284,28.6519198994686,28.1719566724703,26.0739169248663,26.6634692775797,1.70879252034731,23.0854651310462,23.8227928615889
"13","Abudefduf vaigiensis",26.99,27.3616312898777,1.40328395315425,27.0623778065068,26.7320101091816,28.77,29.109445304079,3.47063157510904,28.7724551193771,28.7070412280679,22.11,22.6018562119454,1.03396119745801,22.8830071742688,23.2840773217064
"14","Acalyptophis peronii",28.64,28.9225781670382,26.8685236118501,28.0051235439596,27.2571962477961,28.9710330654432,29.3127351421912,28.7193633794913,28.826566714988,28.4955795604914,27.3617624296102,27.6040607453096,3.06586948134824,26.0679938018677,26.4519328283814
"15","Acanella arbuscula",5.98075295128986,5.88643813896254,2.43310812007871,6.15711326374452,7.20353109414688,13.6227106246435,13.15890664188,4.96274623127168,19.1206562008553,13.3530296907525,0.355225885386958,0.678884583461903,-0.849324822239393,0.84556357378585,2.80552885777543
"16","Acanthaluteres brownii",21.1729108647391,21.5792267433461,2.37924533431558,27.5456435980176,17.9247869659148,28.6,28.9225204982847,21.113647561773,28.7588542349314,26.1575501668385,-0.81,-0.443772665680191,-0.171190005056154,19.2467665041382,17.1700739545857
"17","Acanthaluteres spilomelanurus",27.4480847675551,27.6983971810926,12.6674252687806,26.0598263543344,15.422129589844,28.8465525815992,29.200666040894,27.5181593637866,28.6937961704192,23.6559543804478,7.55701721066126,7.23111284470803,1.21754568563049,8.29301742510992,15.2056576588271
"18","Acanthaluteres vittiger",14.3692358878402,14.3210706704854,2.82935167564848,25.2709774795303,17.5422870686049,28.294828074764,28.5005639554977,21.1137947957667,28.6640539722836,27.2215086750152,-1.09,-0.707778097549102,-0.356884037629641,15.1803402129128,15.3019753520411
"19","Acanthephyra eximia",18.8788810339616,19.2339330496681,1.85451821391046,20.8929538500415,17.884112659147,25.573985861131,25.9950889307298,4.42364365941909,27.01246819947,24.2530250938341,4.73377620679233,4.71320872563836,0.279569394592903,4.47416385400356,4.61510881138488
"20","Acanthephyra pelagica",17.48,17.9254090001396,1.83351252468553,20.437609071211,12.501847354954,25.53,25.6374303025429,3.36669664071124,24.4827483813627,22.7373815558871,4.30122629842205,4.33216317518591,0.517293593803907,8.19238673999462,2.91571854554955
