;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
15-MAR-1986;;;;;;;;;;1.16359819;0.762417856;;;;;;;;;;;0.017965884;;0.026501667;;
14. Apr 86;;;;;;;;;;0.873444604;0.831274014;;;;;;;;;;;0.195519828;;;;
16-MAY-1986;;;;;;;;;;0.560295967;;;;;;;;;;;;0.312997832;;;;
18. Jun 86;;;;;;;;;;0.015480308;;;0.228642742;;;;;;;;;;;;;
18. Jul 86;;0.247790427;;;;;;;;0.160711305;;;;;;;;;;;;0.461530426;;;;
17. Aug 86;;;;;;;;;;;;;;;;;;;;;;0.61933564;;;;
16. Sep 86;;;;;;;;;;;;;;;;;;;;;;0.282754502;;;;
16-OCT-1986;;;;;;;;;;;;;;;;;;;;;;0.300702123;;;;
15. Nov 86;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-1986;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 87;;;;;;;;;;;;;;;;;;;;;;;;;0.02103798;
15-MAR-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Apr 87;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 87;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 87;;;;;;;;;;;0.009739639;;;;;;;;;;;;;;;
17. Aug 87;;;;;;;;;;;;;;;;;;;;;;;0.58209827;;;
16. Sep 87;;;;;;;;;;;;;;;;;;;;;;;0.682808915;;;
16-OCT-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-1987;;;;0.080113308;;;;;;;;;;;;;;;;;;;;;;
16. Jan 88;;;;0.107316146;;;;;;;;;;;;;;;;;;;;;;
15. Feb 88;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 88;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 88;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 88;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 88;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 88;;;;;;;;;;;;;;;;;;0.01102119;;;;;;;;
15-OCT-1988;;;;;;;;;;;;;;;;;;0.118738732;;;;;;;;
14. Nov 88;3.98462E-05;;;;;;;;;;;;;;;;;0.146302841;;;;;;;0.063264935;
16-DEC-1988;;;;;;;;;;;;;;;;;;0.033628122;;;;;;;0.0471071;
18. Jan 89;;;;;;;;;;;;;;;;;;0.097296082;;;;;;;;
14. Feb 89;;;;;;;;;;;;;;;;;;0.118818598;;;;;;;;
16-MAR-1989;;;;;;;;;;;;;;;;;;0.058636614;;0.058817831;;;;;;
18. Apr 89;;;;;;;;;;;;;;;;;;;;0.025920765;;;;;;
18-MAY-1989;;;;;;0.236869057;;;;;;;;;;;;;;;;;;;;
17. Jun 89;;;;;;;;;;;;;;;;;;;;;;;;;0.20236773;0.039723287
17. Jul 89;;;;;;;0.284528692;0.100360993;;;;;;;;;;;0.070263783;;;;;;;
16. Aug 89;;;;;;;0.030871;0.371856513;;;;;;;0.005412406;;;;;;;;;;;0.562388778
15. Sep 89;;;;;;;;0.155164753;;;;;;;;;0.017534855;;;;;;;;;0.134433337
15-OCT-1989;;;;;;;;;;;;;0.077323001;;0.23282873;;0.304694552;;;;;;;0.047747441;;
14. Nov 89;;0.053277204;;;;;;;;;;;0.043268198;;0.305339215;0.00502675;0.415594839;;;;;;;;;
16-DEC-1989;;;;;;;;;;;;;0.050848259;;0.37707872;0.000651716;0.08196629;;;;0.001262262;;;;;
18. Jan 90;;;;;;;;;;0.06696016;;;;;;;;;;;;;;;;
14. Feb 90;;;;;;;;;;0.158626366;;;;;;;;;;;;;;;0.007027002;
16-MAR-1990;;;;;;;;;;0.076228813;;;;;;;;;;;;;;;0.011052568;
18. Apr 90;;;;;;;;;;;;;;;;;;;;;0.021561096;;;;0.002136604;
18-MAY-1990;;;;;;;;;;;;;0.023476703;;;;;;;;0.072926488;;;;;
17. Jun 90;;;;;;;;;;;;;;;;;;;;;0.067171393;;0.282456094;;;
17. Jul 90;;;;;;;0.124327114;;;;;;;;;;0.001993508;;;;0.021382437;;;;;
16. Aug 90;;;;;;;0.444296498;;;;;;;;;;0.2911789;;;;;;;0.022057062;;
15. Sep 90;;0.028660432;0.378228269;;;;0.166207933;;;;;;;;0.024762588;0.008221862;0.381079039;;;;;;;0.035563516;;0.240974608
15-OCT-1990;;0.236160661;;;;;0.12642274;;;;;;;;0.230205606;0.087352344;0.27193748;;;;;;0.167298846;0.023637309;;
14. Nov 90;;0.228344863;;;;;;;;;0.189860922;;;;;0.125643297;0.172826815;;;;;;;;;
16-DEC-1990;0.005443251;;;;;;;;;;;;;;;0.146812327;;;;;;;;;;
18. Jan 91;;;;;;;;;;;;;;;;0.029398911;;;0.086216392;;;;;;;
14. Feb 91;0.008784882;;;;;;;;;;;;;;;;;;0.175011191;;;;;;0.006471828;
16-MAR-1991;0.006582027;;;;;;;;;;;;;;;;;;0.038069597;;;;;;;
18. Apr 91;0.017186473;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-1991;0.020060116;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 91;0.00782254;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 91;;;0.701102032;;;;;0.478806929;;;;;;;;;;;;;;;;;;
16. Aug 91;;;0.675692242;;;;;0.649260126;;;;;;;;;;;;;;;;;;
15. Sep 91;;;;;;;;0.601316117;;;;;;;;;;;;;;;;;;
15-OCT-1991;;;0.067695623;;;;;0.037688207;;;;;;;;;;;;;;;;;0.03574092;
14. Nov 91;;;;;;;;;;;;;;;;;;;;;;;;;0.023106659;
16-DEC-1991;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 92;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Feb 92;0.002728818;;;;;;;;;;;;;;;0.068021997;;;;;;;;;;
18-MAR-1992;;;;;;;;;;;;;;;;0.026228296;;0.011768795;;;;;;;;
17. Apr 92;;;;0.10116286;;;;;;;;;;;;;;0.056590613;;;;;;;;
17-MAY-1992;;;;0.063772738;;;;;;;;;;;;;;0.195120239;;;;;;;;
16. Jun 92;;;;;;;;;;;;;;;;;;0.184271263;;;;;;;;
16. Jul 92;;;;;;;;;;;;;;;;;;0.107002228;;;;;;;;
15. Aug 92;;;;;;;;;;;;;;0.188463997;;;0.074220951;0.035935399;;;0.013867923;;;;;
14. Sep 92;;;;;;;;;;;;;;;;;0.144398111;;;;;;;;;
16-OCT-1992;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 92;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-1992;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 93;;;;;;;;;;;;;;;;;;;;;;;;;;
