;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
15-DEC-2006;;;;;;;;;;;;;;;;;;;0.12508199;;;;;;;
16. Jan 07;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 07;;;;;0.24667997;;;;;;;;;;;;;;;;;;;;;
15-MAR-2007;;;;;0.060616667;;;;;;;;;;;;;;;;;;;;;
14. Apr 07;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-2007;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 07;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 07;;;;;0.119474095;;;;;;;;;;;;;;;;;;;;;
17. Aug 07;;;0.202302432;;;;;;;;;;;;;;;;;;;;;;;
16. Sep 07;;;;;;;;;;;;;;;;;;;;;;;;;;0.183800647
16-OCT-2007;;;;;;;;0.374162148;;;;;;;;0.000787472;;;;;;;;;;
15. Nov 07;;;;;;;;;;;;;;;;0.101821857;;;;;;;;;;
15-DEC-2007;;;;;;;;;;;;;;;;0.240567787;;;;;;;;;;
16. Jan 08;;;;;;;;;;;;;;;;0.09428453;;;;;;;;;;
15. Feb 08;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2008;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 08;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2008;;;;;;;;;;;;;;;;;0.025845469;;;;;;;;;
17. Jun 08;;;;;;0.063570516;;;;;;;;;;;;;;;;;;;;
17. Jul 08;0.008637201;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 08;;;0.043001201;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 08;;;0.42773801;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2008;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 08;;;0.034948202;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2008;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 09;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 09;;;0.150771074;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2009;;;0.022510063;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 09;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 09;;;;;;0.07137095;;;;;;;;;;;;;;;;;;;;
17. Jul 09;;;;;;;;;;;;;;;;;;;;;;;;;;0.178462119
16. Aug 09;;;;;;;;;;;;;;;;;;;;;;;;;;0.009918347
15. Sep 09;;;;;;;;;;;;;;;;;;;;;;;;0.000385616;;
15-OCT-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 09;;;;;;;;;;;;;;;;;0.025850817;;;;;;;;;
16-DEC-2009;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 10;;0.076191062;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 10;;0.326372525;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2010;;0.248152836;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 10;;0.239660858;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2010;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 10;;;;;;0.105879552;;;;;;;;;;;;;;;;;;;;
17. Jul 10;;;;;;;;;;;;;;;;;;;;;;;;;0.725461383;0.138468202
16. Aug 10;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 10;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-2010;;;;;;;;;;;;0.041987928;;;;;;;;;;;;;;
14. Nov 10;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2010;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 11;;;;;;;;;;;;;;;;;0.049241799;;;;;;;;;
14. Feb 11;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2011;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 11;;;0.25143656;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-2011;;;0.210014926;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 11;;;0.147814033;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 11;;;;;;0.084662201;;;;;;;;;;;;;;0.050754539;;;;;;
16. Aug 11;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 11;;;;;;;;;;;;;;;;;;;;;;;;;;0.082270064
15-OCT-2011;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 11;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2011;;;;;;;0.016697538;;;;;;;;;;;;;;;;;;;
18. Jan 12;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Feb 12;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2012;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 12;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-2012;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 12;;;;;;;;;;;;;;;;0.009568285;;;;;;;;;;
16. Jul 12;;;;;;;;0.089377487;;;;;;;;;;;;;;;0.272578551;;;
15. Aug 12;;;;;;0.203390798;;0.032867381;;;;;;;;;;;;;;;;;;1.14289038
14. Sep 12;;;;;;0.448763777;;;;;;;;;;;;;;;;;;;;0.656307193
16-OCT-2012;;;;;;0.488615394;;;;;;;;;;;;;;;;;;;;
18. Nov 12;;;;;;0.322812498;;;;;;;;;;0.000494844;;;;;;;;;;
18-DEC-2012;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 13;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 13;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 13;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 13;;0.615256906;;;;;;;;;;;;;;;;;;;;;;;0.680374234;0.469393379
16. Jul 13;;0.881050711;;;;;;;;;;;;;;;;;;;;;;;1.263370773;1.547372673
15. Aug 13;;0.122855864;;;;;;;;;;;0.110145888;;;;;;;;;;;;;0.03802346
14. Sep 13;;0.325864277;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-2013;0.007284661;;;;;;;;;;;;;;;;;;;;;;;;;0.166430858
18. Nov 13;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-2013;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 14;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 14;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2014;;;;;;;;;;;;0.015887683;;;;;;;;;;;;;;
17. Apr 14;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-2014;;;;;;;;;;;;;;;;;;;0.066039652;;;;;;;
16. Jun 14;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 14;;;;;;;0.260649738;;;;;;;;;;;;;;;;;;;
15. Aug 14;;;0.499301475;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 14;0.006259188;;1.637522496;;;0.077712955;;;;;;;;;;;;;;;;;;;;
16-OCT-2014;0.005769677;;;;;0.216306446;0.214503286;;;;;;;0.289432746;;;;;0.046425616;;;;;;;
18. Nov 14;;;;;;0.363972869;0.077653821;;;;;;;;;;;;0.090394851;;;;;;;
18-DEC-2014;;;;;0.164194831;0.104261558;0.213288329;;0.001274265;;;;;;;;;;;;;;;;;
17. Jan 15;;;;;;;;;0.038588874;;;;;;;;;;;;;;;;;
16. Feb 15;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-2015;;;;;;;;;;;;;;;;;0.005407977;;;;;;;;;
17. Apr 15;;;;;;;;;;0.011281641;;;;;;;0.251514589;;;;;;;;;
17-MAY-2015;;;;;;;;;;;;;;;;;0.387810806;;;;;;;;;
16. Jun 15;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 15;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 15;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 15;;;;;;0.029263258;;;;;;;;;;;;;;;;;;;;
16-OCT-2015;;;;;;0.437165415;;;;;;;;0.27185658;;;;;;;;;;;;
18. Nov 15;;;;;;0.353146287;;;;;;;;0.018270971;;;;;;;;;;;;
18-DEC-2015;;;;0.047511703;;0.068967673;;;;;;;;;;;;;;;;;;;;
17. Jan 16;;;;0.125799229;;;;;;;;0.37360467;;;;;;;;;;;;;;
16. Feb 16;;;;0.164779828;;;;;;;;0.469527279;;;;;;;;;;;;;;
17-MAR-2016;;;;0.128472981;;;;;;;;0.531250834;;;;;;;;;;;;;;
16. Apr 16;;;;0.065262103;;;;;;;;0.336086449;;;;;;;;;;;;;;
16-MAY-2016;;;;0.007440799;;;;;;;;0.219854948;;0.320782795;;;;;;;;;;;;
15. Jun 16;;;;;;;;;;;;;;;;;;;;;;;0.184930523;;;
15. Jul 16;;;;;0.051334044;;;;0.08044899;;;;;;;;;;;;;;;;;
16. Aug 16;;;;;0.17078435;;;;0.110379321;;;;;;;;;;;;;;;;;
18. Sep 16;;;;;0.289281999;;;;0.19379651;;;;;;;;;;;;;;;;0.099935194;
18-OCT-2016;;;;;0.787731577;;;;0.27731827;;;;;0.121854232;;;;;;;;;;;;
17. Nov 16;;;;;0.733851868;;;;0.30391422;;;0.011434719;;;;;;;;;;;;;;0.100078538
17-DEC-2016;;0.513292945;;;0.389072503;;;;0.094801258;;;0.051616604;;;;;;;;;;;;;;0.269093109
16. Jan 17;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 17;;;;0.008671137;;;;;;;;;;;;;;;;;;;;;;
17-MAR-2017;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Apr 17;;;;0.042420957;;;;;;;;0.011735243;;;;;;;;;;;;;;
16-MAY-2017;;;;;;;;;;;;;;;;;;;;;;;0.229072389;;;
15. Jun 17;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jul 17;;;;;;;;;;;;;;;;;;;;;;;0.765639031;0.007454211;;
16. Aug 17;;;;;;;;0.187490439;;;;;;;;;;;;;;;0.451626344;0.018337857;;
18. Sep 17;;;;;;0.106183011;;0.237022779;;;;;;0.422274853;;;;;;;;;0.565374982;;;
18-OCT-2017;;;;;;0.189332731;;0.016865399;;;;;;;;;;;;;;;0.491580588;;;
17. Nov 17;;;;;;;;;;;;;;;;;;;;;;;;;;
12-DEC-2017;;;;;;;;;;;;;;;;;;;;;;;;;;
