;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
14. Apr 86;;;;;;;;;;;;0.264265746;;;;;;;;;;;;;;
16-MAY-1986;;;;;;;;;;0.104391;;;;;;;;;;;;;;;;
18. Jun 86;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 86;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Aug 86;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Sep 86;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1986;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Nov 86;;;;0.251197111;;;;0.059267288;;;;;;;;;;;;;;;0.09781492;;;
15-DEC-1986;;;;;;;;0.128176195;;;;;;;;;;;;;;;0.400288368;;;
16. Jan 87;;;;;;;;;;;0.167725692;;;;;;;0.201887711;;;;;;;;
15. Feb 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-1987;;;;;0.035660695;;;;;;;;;;;;;;;;;;;;;
14. Apr 87;;;;;;;;;;0.336830338;;;;;;;;;;;;;;;;
16-MAY-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 87;;;;;;;;;;0.137699429;;;;;;;;;;;;;;;;
18. Jul 87;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Aug 87;;;;;;;;;;;;;;;;;;;;0.150670048;;;;;;
16. Sep 87;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1987;;;;;;;;;;;;;;;;;;;;;;0.078459385;;;;
15. Nov 87;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-1987;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 88;;;;;;;;;;;;;;;;;0.099008046;;;;;;;;;
15. Feb 88;;;;;0.169784926;;;;;;;;;;;;;;;;;;;;;
