"","surveyID","survey"
"1",1,"BITS"
"2",2,"DFO-QCS"
"3",3,"EBS"
"4",4,"EVHOE"
"5",5,"FR-CGFS"
"6",6,"GMEX"
"7",7,"GOA"
"8",8,"GSL-S"
"9",9,"IE-IGFS"
"10",10,"NEUS"
"11",11,"NIGFS"
"12",12,"Nor-BTS"
"13",13,"NS-IBTS"
"14",14,"PT-IBTS"
"15",15,"SCS"
"16",16,"SEUS"
"17",17,"SWC-IBTS"
"18",18,"WCANN"
