ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
NEUS-9-2002,23,8.249644327000002,0.3586801881304349,yes
NEUS-9-2003,0,0,0,no
NEUS-9-2004,0,0,0,no
NEUS-9-2005,0,0,0,no
NEUS-9-2006,0,0,0,no
NEUS-9-2007,23,11.611449954999998,0.5048456502173913,yes
NEUS-9-2008,0,0,0,no
NEUS-9-2009,7,1.70723233,0.24389033285714287,yes
NEUS-9-2010,27,20.469926316,0.7581454191111111,yes
NEUS-9-2011,13,8.950638737,0.6885106720769231,yes
NEUS-9-2012,106,71.31433719299999,0.672776765971698,yes
NEUS-9-2013,14,5.567117996,0.3976512854285715,yes
NEUS-9-2014,0,0,0,no
NEUS-9-2015,20,7.62750216,0.38137510799999996,yes
NEUS-9-2016,52,22.29591843900001,0.4287676622884617,yes
NEUS-9-2017,5,3.0539201670000002,0.6107840334000001,yes
NEUS-9-2018,20,9.528225575999999,0.47641127879999995,yes
NEUS-9-2019,6,2.382148379,0.39702472983333337,yes
NIGFS-10-2009,0,0,0,no
NIGFS-10-2010,0,0,0,no
NIGFS-10-2011,5,0.7840900499999999,0.15681800999999998,yes
NIGFS-10-2012,0,0,0,no
NIGFS-10-2013,0,0,0,no
NIGFS-10-2014,6,4.006502396,0.6677503993333334,yes
NIGFS-10-2015,0,0,0,no
NIGFS-10-2016,7,3.658095126,0.522585018,yes
NIGFS-10-2017,0,0,0,no
NIGFS-10-2018,5,2.9539692430000004,0.5907938486000001,yes
NIGFS-10-2019,0,0,0,no
Nor-BTS-8-1989,0,0,0,no
Nor-BTS-8-1990,35,7.957517407000001,0.22735764020000002,yes
Nor-BTS-8-1991,68,26.226192605000005,0.38567930301470593,yes
Nor-BTS-8-1992,0,0,0,no
Nor-BTS-8-1993,0,0,0,no
Nor-BTS-8-1994,0,0,0,no
Nor-BTS-8-1995,0,0,0,no
Nor-BTS-8-1996,0,0,0,no
Nor-BTS-8-1997,0,0,0,no
Nor-BTS-8-1998,7,0.5003122760000001,0.0714731822857143,yes
Nor-BTS-8-1999,20,5.023332248,0.2511666124,yes
Nor-BTS-8-2000,0,0,0,no
Nor-BTS-8-2001,7,2.9904204400000003,0.42720292000000004,yes
Nor-BTS-8-2002,38,9.341594919,0.2458314452368421,yes
Nor-BTS-8-2003,6,0.7631066499999999,0.12718444166666665,yes
Nor-BTS-8-2004,16,10.116000886,0.632250055375,yes
