survey,title
BITS,Baltic Sea
DFO-QCS,British Columbia
EBS,Eastern Bering Sea
EVHOE,France
FR-CGFS,English Channel
GMEX,Gulf of Mexico
GOA,Gulf of Alaska
GSL-S,Gulf of Saint Lawrence
IE-IGFS,Ireland
NEUS,Northeast US
NIGFS,Northern Ireland
Nor-BTS,Norway
NS-IBTS,North Sea
PT-IBTS,Portugal
SCS,Scotian Shelf
SEUS,Southeast US
SWC-IBTS,Scotland
WCANN,West Coast US
