ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
PT-IBTS-9-2010,42,17.302187538,0.4119568461428571,yes
PT-IBTS-9-2011,61,39.95133094799999,0.6549398516065572,yes
PT-IBTS-9-2013,11,1.7475683940000002,0.158869854,yes
PT-IBTS-9-2014,12,0.7288766180000001,0.06073971816666668,yes
PT-IBTS-9-2015,65,47.506005967000014,0.7308616302615387,yes
PT-IBTS-9-2016,36,7.30807126,0.20300197944444445,yes
PT-IBTS-9-2017,29,11.044504142000001,0.3808449704137931,yes
SCS-6-1984,6,2.613399231,0.4355665385,yes
SCS-6-1985,4,0.372686471,0.09317161775,yes
SCS-6-1986,0,0,0,no
SCS-6-1987,0,0,0,no
SCS-6-1988,0,0,0,no
SCS-6-1989,0,0,0,no
SCS-6-1990,0,0,0,no
SCS-6-1991,0,0,0,no
SCS-6-1992,0,0,0,no
SCS-6-1993,0,0,0,no
SCS-6-1994,0,0,0,no
SCS-6-1995,24,13.573902054000003,0.5655792522500002,yes
SCS-6-1996,0,0,0,no
SCS-6-1997,0,0,0,no
SCS-6-1998,0,0,0,no
SCS-6-1999,7,1.105365871,0.15790941014285714,yes
SCS-6-2000,54,32.642658395000005,0.6044936739814816,yes
SCS-6-2001,0,0,0,no
SCS-6-2002,0,0,0,no
SCS-6-2003,0,0,0,no
SCS-6-2004,11,3.4519373179999997,0.31381248345454543,yes
SCS-6-2005,0,0,0,no
SCS-6-2006,10,3.535284609,0.3535284609,yes
SCS-6-2007,3,1.204018644,0.401339548,yes
SCS-6-2008,0,0,0,no
SCS-6-2009,7,0.765209957,0.10931570814285715,yes
SCS-6-2010,13,7.34595963,0.5650738176923077,yes
SCS-6-2011,26,21.327169238000003,0.820275739923077,yes
SCS-6-2012,31,19.999596481,0.6451482735806452,yes
SCS-6-2013,149,71.19961053800002,0.4778497351543625,yes
SCS-6-2014,27,12.813313941000002,0.47456718300000006,yes
SCS-6-2015,58,15.087905009000002,0.2601362932586207,yes
SCS-6-2016,57,20.059606679,0.3519229241929825,yes
SCS-6-2017,47,13.419788566000001,0.28552741629787237,yes
SEUS-4-1990,26,14.884341966999997,0.5724746910384615,yes
SEUS-4-1991,59,14.996895935999998,0.2541846768813559,yes
SEUS-4-1992,4,0.490361797,0.12259044925,yes
SEUS-4-1993,58,33.274352277999995,0.5736957289310344,yes
SEUS-4-1994,24,6.353789165,0.2647412152083333,yes
SEUS-4-1995,20,3.1781915460000003,0.15890957730000002,yes
SEUS-4-1996,1,0.03924296,0.03924296,yes
SEUS-4-1997,35,23.342490667999996,0.6669283047999999,yes
