ref_year,anomDays,anomSev,anomIntC
northeast-2-2001,8,2.097542156,0.2621927695
northeast-2-2002,32,7.247653888,0.226489184
northeast-2-2003,13,5.405427651,0.415802127
northeast-2-2004,0,0,0
northeast-2-2005,0,0,0
northeast-2-2006,3,0.708842111,0.23628070366666667
northeast-2-2007,28,11.63564178,0.415558635
northeast-2-2008,0,0,0
northeast-2-2009,4,0.566504263,0.14162606575
northeast-2-2010,12,2.243810334,0.1869841945
northeast-2-2011,32,21.38222667,0.6681945834375
northeast-2-2012,19,10.902865873,0.5738350459473684
northeast-2-2013,116,71.34864036,0.615074485862069
northeast-2-2014,7,3.462670252,0.4946671788571429
northeast-2-2015,14,2.682865722,0.19163326585714285
northeast-2-2016,71,30.716631197,0.43262860840845074
northeast-2-2017,28,7.155920454,0.25556858764285717
northeast-2-2018,12,2.175561758,0.18129681316666668
northeast-2-2019,30,12.994679296,0.4331559765333333
scotian_shelf-6-1983,95,24.667539111,0.25965830643157894
scotian_shelf-6-1984,37,13.573027446,0.3668385796216216
scotian_shelf-6-1985,16,10.550082347,0.6593801466875
scotian_shelf-6-1987,0,0,0
scotian_shelf-6-1988,4,0.348584382,0.0871460955
scotian_shelf-6-1989,3,1.015995985,0.33866532833333335
scotian_shelf-6-1990,0,0,0
scotian_shelf-6-1991,13,3.353631139,0.2579716260769231
scotian_shelf-6-1992,0,0,0
scotian_shelf-6-1993,0,0,0
scotian_shelf-6-1994,0,0,0
scotian_shelf-6-1995,45,33.456080299999996,0.743468451111111
scotian_shelf-6-1996,0,0,0
scotian_shelf-6-1997,0,0,0
scotian_shelf-6-1998,0,0,0
scotian_shelf-6-1999,19,5.042954297,0.26541864721052627
scotian_shelf-6-2000,43,29.732166397,0.6914457301627907
scotian_shelf-6-2001,0,0,0
scotian_shelf-6-2002,0,0,0
scotian_shelf-6-2003,4,0.29753472999999997,0.07438368249999999
scotian_shelf-6-2004,14,5.155352681,0.36823947721428574
scotian_shelf-6-2005,0,0,0
scotian_shelf-6-2006,11,4.182199905,0.38019999136363636
scotian_shelf-6-2007,0,0,0
scotian_shelf-6-2008,0,0,0
scotian_shelf-6-2009,5,0.5218765439999999,0.10437530879999998
scotian_shelf-6-2010,6,1.544282446,0.25738040766666664
scotian_shelf-6-2011,22,18.561315377,0.8436961534999999
scotian_shelf-6-2012,24,16.420267322,0.6841778050833334
scotian_shelf-6-2013,103,38.138786904,0.3702794845048544
scotian_shelf-6-2014,16,7.738878017,0.4836798760625
scotian_shelf-6-2015,18,3.222201959,0.17901121994444444
scotian_shelf-6-2016,25,4.53948556,0.1815794224
scotian_shelf-6-2017,9,2.121923547,0.23576928300000002
southeast-4-1989,10,1.775224678,0.1775224678
southeast-4-1990,23,8.995958422,0.3911286270434782
southeast-4-1991,28,4.489125266,0.16032590235714286
southeast-4-1992,1,0.050540977,0.050540977
southeast-4-1993,50,22.545961332,0.45091922664
southeast-4-1994,13,3.116184351,0.23970648853846152
southeast-4-1995,13,1.393241287,0.10717240669230768
southeast-4-1996,0,0,0
southeast-4-1997,35,24.172809137,0.6906516896285715
southeast-4-1998,0,0,0
southeast-4-1999,76,44.820650272,0.5897453983157895
southeast-4-2000,8,0.455665061,0.056958132625
southeast-4-2001,4,1.0320151850000001,0.25800379625000003
southeast-4-2002,10,2.208564337,0.2208564337
southeast-4-2003,6,0.5772382659999999,0.09620637766666666
southeast-4-2004,2,0.067032893,0.0335164465
southeast-4-2005,3,0.32461691600000003,0.10820563866666667
southeast-4-2006,6,1.867857111,0.3113095185
southeast-4-2007,0,0,0
southeast-4-2008,5,0.6398365309999999,0.1279673062
southeast-4-2009,0,0,0
southeast-4-2010,0,0,0
southeast-4-2011,12,2.060941316,0.17174510966666667
southeast-4-2012,14,7.863886563,0.5617061830714286
southeast-4-2013,11,3.057690267,0.2779718424545454
southeast-4-2014,0,0,0
southeast-4-2015,2,0.23696598800000002,0.11848299400000001
southeast-4-2016,24,10.922898885,0.455120786875
southeast-4-2017,26,3.388867816,0.13034106984615385
southeast-4-2018,21,7.671677087,0.3653179565238095
west_coast-5-1983,29,6.057433983,0.20887703389655174
west_coast-5-1986,0,0,0
west_coast-5-1989,0,0,0
west_coast-5-1992,40,8.433346789,0.210833669725
west_coast-5-1995,20,4.460462672,0.2230231336
west_coast-5-1998,202,107.860268492,0.5339617252079208
west_coast-5-2001,0,0,0
west_coast-5-2003,0,0,0
west_coast-5-2004,2,0.156797952,0.078398976
west_coast-5-2005,3,0.39083530600000005,0.13027843533333336
west_coast-5-2006,0,0,0
west_coast-5-2007,0,0,0
west_coast-5-2008,7,2.524427619,0.360632517
west_coast-5-2009,0,0,0
west_coast-5-2010,0,0,0
west_coast-5-2011,0,0,0
west_coast-5-2012,0,0,0
west_coast-5-2013,0,0,0
west_coast-5-2014,8,2.013172981,0.251646622625
west_coast-5-2015,139,72.774861524,0.5235601548489209
west_coast-5-2016,59,20.213544708,0.34260245267796613
west_coast-5-2017,25,7.350750371,0.29403001484
west_coast-5-2018,0,0,0
west_coast-5-2019,0,0,0
